Start Time		End Time
22-Jan-2014 18:45:05	22-Jan-2014 18:45:49
14-Mar-2014 23:48:16	14-Mar-2014 23:48:59
11-Apr-2014 10:47:49	11-Apr-2014 10:48:36
16-Apr-2014 16:03:52	16-Apr-2014 16:04:40
08-Jul-2014 04:46:41	08-Jul-2014 04:47:26
10-Jul-2014 03:22:54	10-Jul-2014 03:23:37
10-Jul-2014 03:24:04	10-Jul-2014 03:24:49
31-Aug-2014 10:20:56	31-Aug-2014 10:21:40
30-Sep-2014 09:55:07	30-Sep-2014 09:55:50
06-Oct-2014 08:10:57	06-Oct-2014 08:11:45
08-Oct-2014 00:16:27	08-Oct-2014 00:17:13
10-Oct-2014 22:57:26	10-Oct-2014 22:58:12
17-Oct-2014 17:01:10	17-Oct-2014 17:01:53
20-Oct-2014 04:01:47	20-Oct-2014 04:02:24
21-Oct-2014 04:33:31	21-Oct-2014 04:34:13
24-Oct-2014 12:50:53	24-Oct-2014 12:51:36
26-Oct-2014 20:11:18	26-Oct-2014 20:12:02
28-Oct-2014 06:26:56	28-Oct-2014 06:27:40
02-Nov-2014 13:16:24	02-Nov-2014 13:16:58
04-Nov-2014 16:59:26	04-Nov-2014 17:00:11
08-Nov-2014 01:31:57	08-Nov-2014 01:32:45
02-Dec-2014 21:57:24	02-Dec-2014 21:58:09
23-Dec-2014 12:33:41	23-Dec-2014 12:34:28
27-Dec-2014 08:23:30	27-Dec-2014 08:24:16
07-Jan-2015 00:40:31	07-Jan-2015 00:41:16
10-Jan-2015 19:04:24	10-Jan-2015 19:05:11
31-Jan-2015 10:48:53	31-Jan-2015 10:49:36
02-Feb-2015 14:10:18	02-Feb-2015 14:11:03
22-Feb-2015 07:31:27	22-Feb-2015 07:31:57
22-Feb-2015 07:31:50	22-Feb-2015 07:32:35
22-Feb-2015 07:36:30	22-Feb-2015 07:37:10
22-Feb-2015 08:20:40	22-Feb-2015 08:21:21
05-Mar-2015 14:49:06	05-Mar-2015 14:49:51
07-Mar-2015 08:59:40	07-Mar-2015 09:00:24
09-Mar-2015 18:14:35	09-Mar-2015 18:15:19
14-Mar-2015 20:17:35	14-Mar-2015 20:18:19
19-Mar-2015 11:48:13	19-Mar-2015 11:48:56
20-Mar-2015 05:19:24	20-Mar-2015 05:20:06
22-Apr-2015 18:28:46	22-Apr-2015 18:29:28
27-Apr-2015 04:49:19	27-Apr-2015 04:50:01
18-Aug-2015 02:38:02	18-Aug-2015 02:38:48
20-Aug-2015 05:14:15	20-Aug-2015 05:14:57
25-Aug-2015 23:08:37	25-Aug-2015 23:09:22
14-Oct-2015 08:23:11	14-Oct-2015 08:24:00
18-Oct-2015 01:47:36	18-Oct-2015 01:48:22
29-Dec-2015 12:25:37	29-Dec-2015 12:26:17
06-Jan-2016 12:45:40	06-Jan-2016 12:46:29
13-Jan-2016 18:58:20	13-Jan-2016 18:59:07
15-Jan-2016 01:55:00	15-Jan-2016 01:55:41
03-Feb-2016 14:59:23	03-Feb-2016 15:00:13
06-Feb-2016 23:09:16	06-Feb-2016 23:10:05
05-Mar-2016 03:13:17	05-Mar-2016 03:13:59
13-Mar-2016 22:17:49	13-Mar-2016 22:18:35
21-May-2016 20:51:21	21-May-2016 20:52:07
19-Jun-2016 05:46:15	19-Jun-2016 05:47:02
07-Aug-2016 09:28:32	07-Aug-2016 09:29:48
23-Aug-2016 16:56:17	23-Aug-2016 16:57:03
06-Nov-2016 04:48:41	06-Nov-2016 04:49:22
06-Dec-2016 16:41:19	06-Dec-2016 16:42:00
23-Dec-2016 19:31:21	23-Dec-2016 19:32:14
